DeltaCoin,RSI,SMA,MACD,DeltaBTC
1,70.32194410587738,31.694444444444425,0.3019061933563165,108.68000000000029
0,67.4097843099349,31.615555555555538,0.29845333836011534,-222.16999999999825
0,72.10242042107527,31.576666666666654,0.3039596457888152,-9.299999999995634
1,75.51959320962912,31.526666666666657,0.2963846469681535,148.5199999999968
1,73.7008617669423,31.442222222222213,0.27527787179024443,546.2799999999988
1,70.96992257904576,31.385555555555545,0.2555339097007696,75.51000000000204
1,67.1713532716503,31.358888888888877,0.24188930485637172,45.150000000001455
1,65.5432300302957,31.33222222222221,0.2392827102388857,-67.56999999999971
1,65.08381161905491,31.298888888888875,0.23960254459636232,34.18000000000029
0,59.866517861585926,31.25999999999999,0.23856200525486315,-37.55000000000291
1,70.04860078564546,31.243333333333325,0.25514572405528213,41.150000000001455
1,70.04860078564546,31.195555555555547,0.2502013691561018,43.85000000000582
0,64.3443254075122,31.1291111111111,0.24025128171524557,15.089999999996508
0,71.74568043403082,31.082444444444434,0.24849315146577666,-25.589999999996508
1,78.97613108483976,31.02577777777777,0.2411437830169625,58.4600000000064
1,75.54310133151117,30.961333333333325,0.21603758862568156,-16.900000000001455
1,72.53548040443206,30.90022222222221,0.1991778628589813,-86
1,70.73609586954419,30.84244444444444,0.18799795305698552,9.610000000000582
1,70.47953379108591,30.800222222222217,0.1781210797743391,-39.06999999999971
1,68.96353440578405,30.74799999999999,0.16394192762413695,39.669999999998254
1,64.18094261534057,30.702777777777765,0.1495686544778856,51.87000000000262
0,62.184005901351576,30.658111111111097,0.14615304177881328,-30.739999999997963
0,64.8932185529431,30.62922222222221,0.14598034278067118,35.11999999999534
1,67.62920536901945,30.605888888888874,0.13854565652804496,47.650000000001455
1,63.32131082442187,30.556999999999984,0.1219501747070133,-24.55999999999767
0,60.028339485822144,30.51366666666665,0.11426721173243592,-67.61000000000058
1,63.74846172399252,30.481444444444428,0.11298070681968397,28.62000000000262
0,60.501324112690234,30.451444444444423,0.10256803026820904,-19.110000000000582
1,60.652666550275434,30.431444444444423,0.09796758812042583,50.93000000000029
0,54.96959139895197,30.406666666666652,0.09036531340641929,-92.75
0,58.842878619799144,30.4122222222222,0.09594400548553139,-7.669999999998254
1,64.08410406577761,30.382222222222204,0.09352344147762892,396.6100000000006
1,57.801770670354635,30.352222222222206,0.07889176244968965,92.44999999999709
1,53.61631935115429,30.33777777777776,0.07739617558203093,-45
0,53.61631935115429,30.331111111111095,0.0845433185170279,15.219999999993888
1,58.087295647094614,30.342222222222208,0.09243595086654466,-219.95999999999913
1,57.723567838534805,30.344444444444434,0.09200166050731795,41.070000000006985
0,56.3154667645731,30.34666666666666,0.09112732393234424,-137
1,61.55044273645586,30.35666666666666,0.09275859144672793,347
0,52.629042056185526,30.321111111111104,0.08229146610767657,59.11999999999534
0,57.81968949512797,30.316666666666656,0.09217100480426765,29.56999999999971
1,56.21574498652215,30.284444444444432,0.09325840139803532,74.52999999999884
0,55.02469422455867,30.26222222222221,0.09736255630284418,-64.12000000000262
1,63.59164817479387,30.246666666666655,0.10423931319875734,135.19000000000233
1,64.17148557165457,30.211111111111094,0.09520943835391904,50.229999999995925
1,63.86554081364628,30.166666666666647,0.08128098808499473,47.23999999999796
1,65.42176823973264,30.132222222222204,0.06333913355142329,258.23999999999796
0,55.30984848924294,30.073333333333316,0.03646296091328338,-43.93999999999505
1,57.387646376109224,30.047777777777767,0.03217427567822284,30.469999999993888
0,50.97452896815283,30.017777777777766,0.02215963705925006,-41.229999999995925
0,53.465095075692936,30.00444444444444,0.02432772177380471,6.989999999997963
0,54.96121973728591,29.996888888888886,0.02165021940185241,-21.75
1,54.1672621621654,30.002444444444443,0.0148632950012626,15.400000000001455
0,51.381829597688096,29.993555555555556,0.008020881748130648,4.120000000002619
1,54.92414664762208,29.98466666666667,0.006298079643251242,79.88999999999942
0,46.84202848455047,29.968,-0.004137905292701305,47.80000000000291
0,46.84202848455046,29.995777777777775,0.0019476252842167696,-48.63999999999942
1,46.842028484550454,30.029111111111106,0.009686646125530274,-97.98999999999796
0,46.842028484550454,30.04244444444444,0.01942355423752673,-154.47000000000116
0,50.452570235243904,30.055777777777767,0.03156886525701452,-12.150000000001455
1,56.29935275366097,30.071111111111097,0.036226060554518824,197.70000000000437
1,50.949774943026725,30.067888888888874,0.026574319853441608,-36.94999999999709
0,48.20209641456914,30.066777777777766,0.029141380706203535,49.33999999999651
0,48.562963584893026,30.07788888888888,0.03912128192981612,-129.8199999999997
0,56.864473275093864,30.085666666666654,0.05027204629988802,-68.81000000000495
1,59.0979976152449,30.055666666666653,0.042391428513326446,-13.159999999996217
0,52.91580329647913,30.003444444444433,0.026625382851008794,-106.08999999999651
0,52.915803296479126,29.962333333333326,0.024442169909640654,-75.38999999999942
1,57.95077081470722,29.93344444444444,0.021300073829426225,182.75
1,57.35418159065396,29.89122222222222,0.0047616155768004376,183.09999999999854
1,53.09345332113467,29.859999999999996,-0.014482185546764725,-102.90999999999622
1,54.641316433796995,29.818888888888882,-0.02549544173652052,-79.63999999999942
1,54.01893602404968,29.791555555555547,-0.043254245938918245,51.23999999999796
1,49.86702932334864,29.764888888888876,-0.06325542154358743,82.29999999999563
1,44.49738885474522,29.77488888888888,-0.07462775227473983,73.01000000000204
0,41.38839830307805,29.792999999999992,-0.07278475982941046,-219.73999999999796
1,44.576482617756376,29.8041111111111,-0.06122828932894464,5.860000000000582
0,44.576482617756376,29.821888888888882,-0.056787437318110534,91.77999999999884
1,46.83897155572419,29.874111111111105,-0.05029329620874634,23.4800000000032
0,38.92295497035502,29.927444444444436,-0.04941832633884857,-46.75
1,43.395956771808414,29.989666666666658,-0.025182734594523026,17.80000000000291
0,42.87558402125916,30.025888888888883,-0.010581194083119527,-304.26000000000204
1,48.83049847440727,30.05366666666666,0.009635044083555755,-51.80000000000291
1,46.157059376905956,30.066999999999993,0.014934532884169016,53.33999999999651
0,40.82549886008758,30.08666666666666,0.02932137811136215,168.3199999999997
0,45.83573211746736,30.1211111111111,0.061817731428817524,-306.3799999999974
0,57.859102538760844,30.138888888888875,0.08508663720595067,-55.150000000001455
1,62.262029267153785,30.122222222222206,0.08198496222030727,230.65000000000146
1,57.60167046861584,30.08444444444443,0.0676699521517925,-80.29999999999563
1,55.02286917599159,30.059999999999988,0.06266904908758875,98.9800000000032
0,51.50110070130029,30.05444444444443,0.06250180118982485,127.61000000000058
1,54.5881101624719,30.081999999999987,0.07054285131027882,-13.87000000000262
1,53.85427211919817,30.10422222222221,0.07265280471769131,15.160000000003492
1,53.505438669877385,30.12422222222221,0.07632546808908103,1
0,54.26728971197939,30.156444444444432,0.08092111525635914,21.37999999999738
1,54.26728971197939,30.1631111111111,0.08357343414613538,99.22000000000116
